fecha,p10,p25,w_mean,w_median,p75,p90,p99
2013-01-01,2400,4048,8387,6313,9923,15454,44799
2013-02-01,2370,4050,8033,6271,9788,15164,34356
2013-03-01,2500,4431,8669,6808,10598,16116,36174
2013-04-01,2715,4581,8829,6998,10874,16483,36076
2013-05-01,2770,4594,9116,7092,10965,16959,40737
2013-06-01,3587,6338,12945,10037,15660,24630,59991
2013-07-01,2830,4781,9449,7440,11539,17750,40844
2013-08-01,2869,4834,9661,7573,11678,17975,43321
2013-09-01,2956,4952,9784,7707,11996,18247,41416
2013-10-01,2983,5000,9935,7851,12158,18601,41562
2013-11-01,3064,5119,10014,7877,12166,18680,42258
2013-12-01,4017,7045,14074,10988,17133,26160,63689
2014-01-01,3211,5279,11017,8474,13279,20096,55572
2014-02-01,3240,5435,10649,8682,13078,19650,43634
2014-03-01,3412,5899,11282,9088,13780,20846,46122
2014-04-01,3554,6197,11956,9534,14495,21852,52864
2014-05-01,3573,6195,11902,9595,14521,21881,50245
2014-06-01,4687,8515,17214,13700,21258,32417,76252
2014-07-01,3705,6417,12714,10125,15563,23821,54381
2014-08-01,3788,6713,13094,10541,16211,24641,52999
2014-09-01,3847,6707,13231,10554,16433,25142,53243
2014-10-01,3881,6774,13353,10645,16380,25047,56588
2014-11-01,3891,6790,13472,10781,16540,25394,56406
2014-12-01,5211,9486,19122,15128,23340,35787,86283
2015-01-01,4003,7092,14474,11130,17183,26518,73289
2015-02-01,4067,7228,14295,11388,17706,27055,59223
2015-03-01,4477,8154,15194,12286,18514,27722,63166
2015-04-01,4625,8353,15721,12819,19339,28704,64266
2015-05-01,4651,8354,15754,12788,19337,28968,65412
2015-06-01,6222,11545,23450,18368,28354,43667,109466
2015-07-01,4848,8727,17062,13842,20892,31445,73030
2015-08-01,5008,9112,17540,14264,21686,32542,71529
2015-09-01,5202,9222,17677,14420,21839,32684,71360
2015-10-01,5188,9208,17857,14482,21961,33145,73014
2015-11-01,5253,9335,18176,14631,22208,33623,77034
2015-12-01,7036,12863,25529,20325,31261,47365,113481
2016-01-01,5525,9502,19267,14913,22736,34810,97259
2016-02-01,5557,9665,18621,15164,22730,34313,76968
2016-03-01,6060,10451,20198,16614,24382,36565,84884
2016-04-01,6207,10966,20534,17002,25005,37189,83633
2016-05-01,6341,11019,21267,17067,25306,38300,96560
2016-06-01,8473,15312,30354,24185,36763,56244,137071
2016-07-01,6793,11729,22592,18566,27727,41326,92512
2016-08-01,6921,12402,23327,19222,28654,42577,93854
2016-09-01,7121,12367,23505,19271,28787,43032,95367
2016-10-01,7185,12548,23967,19418,29227,44062,99327
2016-11-01,7258,12647,24564,19626,29923,45603,104708
2016-12-01,9772,17826,35204,28068,42580,65327,159619
2017-01-01,7448,13049,26010,20257,30712,46921,126946
2017-02-01,7558,13228,25203,20228,30536,46205,107728
2017-03-01,8047,13665,26316,21029,31431,47596,115724
2017-04-01,8080,14160,26789,21839,32424,48875,111906
2017-05-01,8225,14367,27604,22431,33302,50598,117029
2017-06-01,10894,19554,38596,30732,46562,71451,176244
2017-07-01,8771,15140,28872,23493,35189,53002,120356
2017-08-01,8568,15200,29294,23687,35816,53598,121748
2017-09-01,8959,15699,29834,24202,36546,54396,124072
2017-10-01,8701,15714,30095,24368,36767,55492,125982
2017-11-01,9113,15903,30374,24541,36770,55855,128117
2017-12-01,11921,21956,43036,34172,52083,80391,189099
2018-01-01,9327,16445,32226,25305,38166,58546,153752
2018-02-01,9516,16590,31392,25887,38215,56949,129040
2018-03-01,9837,16931,32213,25935,38766,58432,137492
2018-04-01,10037,17761,33728,27303,41407,61877,139728
2018-05-01,10154,17775,33728,27323,40603,61605,142366
2018-06-01,13325,24273,47599,38352,57532,87641,213042
2018-07-01,10498,18697,35167,28525,42456,63173,147316
2018-08-01,10552,19022,35606,29105,43325,64480,149015
2018-09-01,10895,19204,36345,29793,43977,66267,151745
2018-10-01,11334,20266,38849,31492,47438,71029,163405
2018-11-01,11577,20600,39801,32287,48271,72951,168106
2018-12-01,15938,30287,58883,47954,71784,107469,259680
2019-01-01,12015,21699,42905,33990,51004,78080,201054
2019-02-01,12495,22521,42968,35056,52005,78612,180142
2019-03-01,13018,23413,44703,36165,53538,81226,189790
2019-04-01,13399,24162,46321,37898,55958,84421,193332
2019-05-01,13227,24241,47077,38063,56326,86044,205978
2019-06-01,17738,34265,67499,53631,81853,125063,306803
2019-07-01,14227,26339,50900,41172,61557,93609,217231
2019-08-01,14032,26957,52002,42504,63649,95972,219955
2019-09-01,15210,28212,53768,44008,65157,98548,227051
2019-10-01,14901,28279,55590,44775,66898,102184,248252
2019-11-01,16121,29107,57073,45921,68524,104647,254588
2019-12-01,21526,40638,81699,63904,98732,151740,382721
2020-01-01,16822,30498,62169,47854,74348,114963,304710
2020-02-01,17062,31874,61888,49097,75126,113933,270762
2020-03-01,18047,33454,64097,52050,77453,116485,274537
2020-04-01,18547,33587,63559,51550,77710,115943,262457
2020-05-01,19012,33655,63592,51591,77589,115514,264692
2020-06-01,25624,46704,89342,74815,111729,160426,372864
2020-07-01,19324,34215,66715,52527,80090,122494,296404
2020-08-01,19597,34638,67535,53360,81247,122629,300153
2020-09-01,19919,35888,68435,55690,81870,121748,285227
2020-10-01,20416,37388,71886,59236,86899,129046,304995
2020-11-01,20476,38137,73549,59150,88370,133698,328394
2020-12-01,28527,54395,106372,86589,129606,194438,470789
2021-01-01,21531,40244,79836,63182,94532,143344,398348
2021-02-01,22887,41629,79719,63817,95763,143507,352185
2021-03-01,24697,45863,86581,69320,104278,155536,370239
2021-04-01,25089,46147,88955,70909,106121,159036,402771
2021-05-01,25998,47001,89730,72760,108962,163270,379396
2021-06-01,34672,65110,129594,103857,155591,237119,611816
2021-07-01,26918,51166,98074,78961,119174,178379,424314
2021-08-01,27799,52628,100995,81776,123669,183719,435627
2021-09-01,27945,54138,105852,85240,129115,193377,479789
2021-10-01,30375,57009,111162,88969,134332,203050,496821
2021-11-01,30000,57973,114920,91652,139090,209421,522334
2021-12-01,44666,85010,170895,137329,208600,313099,776408
2022-01-01,34480,63470,126634,99117,149914,226020,631361
2022-02-01,35346,64401,124859,100352,150958,225488,557593
2022-03-01,37567,71931,140080,110698,167980,252377,645621
2022-04-01,39344,74590,143988,116499,175410,259790,626490
2022-05-01,40554,77838,153649,121899,183442,276124,740430
2022-06-01,57329,110084,224731,178993,272534,415518,1069754
2022-07-01,45085,86039,172327,136607,210209,317764,775951
2022-08-01,46808,89441,178834,142922,218656,330084,807199
2022-09-01,51487,97064,193070,154567,234389,350721,885144
2022-10-01,55113,104540,209134,166313,253573,385694,949359
